Player,TEAM,PLAYOFF,PPG,TS%,USG%,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,SALARY
David Roddy,ATL,0,11.9,0.561,16,0.1,0.4,0.5,0.062,-1.6,0.1,-1.5,0.1,2967212
Day'Ron Sharpe,BRK,0,19.7,0.568,19.9,1.3,1.4,2.7,0.141,0,0.9,0.9,0.7,3989122
Dean Wade,CLE,1,10.1,0.563,10.4,1.3,1.7,3,0.113,-1,1.2,0.3,0.7,6166667
DeAndre Jordan,DEN,1,15.4,0.621,12.8,0.9,0.9,1.8,0.127,-1.4,0.2,-1.2,0.2,2087519
Delon Wright,NYK,1,9.2,0.44,11.3,0,0.7,0.7,0.053,-2.8,1.4,-1.4,0.1,2087519
Dereck Lively II,DAL,0,20.1,0.704,13.6,2.4,1,3.4,0.199,1.1,2.2,3.3,1.1,5014560
Derrick Jones Jr.,LAC,1,13.5,0.609,16.5,2.1,2.6,4.7,0.12,-1,0.7,-0.3,0.8,9523810
Devin Carter,SAC,0,10.8,0.471,17.9,-0.1,0.4,0.4,0.043,-3.5,0.3,-3.2,-0.1,4689000
Dominick Barlow,ATL,0,14.6,0.58,14.5,0.7,0.3,1,0.131,-1.4,-0.8,-2.2,0,491887
Donovan Clingan,POR,0,17.4,0.574,14.2,1.8,2.2,4,0.144,-1.7,1.4,-0.3,0.6,6836400
Doug McDermott,SAC,0,9.5,0.617,15.7,0.4,0.1,0.4,0.061,-0.8,-2.4,-3.2,-0.1,2087519
Drew Eubanks,LAC,1,15.6,0.622,15.1,1,0.7,1.7,0.107,-1.2,0.6,-0.7,0.3,5000000
